Model,Accuracy,Precision_Weighted,Recall_Weighted,F1_Weighted,Precision_Macro,Recall_Macro,F1_Macro,CV_Accuracy_Mean,CV_Accuracy_Std
Gradient Boosting,0.6308929327126535,0.659337757419711,0.6308929327126535,0.5295912175531408,0.6900349680370061,0.33691043586674785,0.32913753145263713,0.6303377267005537,0.00123355415988443
Decision Tree,0.6135844265763859,0.5455560605542893,0.6135844265763859,0.5075059047894686,0.5082925605348408,0.312791702928587,0.28727085787289364,0.6109442225806163,0.00279183576368882
Random Forest,0.6140499365213712,0.7370606913481975,0.6140499365213712,0.4961664829300646,0.8563254711312966,0.29202918012677914,0.26765495475486073,0.6147319011021566,0.0010562768737691587
Logistic Regression,0.5885315277190013,0.43084615812947347,0.5885315277190013,0.4654403636969432,0.26052437193521705,0.2543577573520016,0.22635950186544015,0.5896356107977496,0.0006041511867123242
